id;start_date;end_date;language
1;2020-03-16T19:17:00;2020-03-16T17:07:15;SPANISH
2;2020-03-16T00:07:11;2020-03-16T19:11:36;SPANISH
3;2020-03-16T15:02:30;2020-03-16T01:36:39;FRENCH
4;2020-03-16T06:20:01;2020-03-16T17:51:27;FRENCH
5;2020-03-16T15:50:19;2020-03-16T20:37:18;FRENCH
6;2020-03-16T09:42:40;2020-03-16T21:50:54;FRENCH
7;2020-03-16T11:28:00;2020-03-16T05:18:51;FRENCH
8;2020-03-16T10:24:13;2020-03-16T20:40:21;SPANISH
9;2020-03-16T09:05:22;2020-03-16T05:46:45;SPANISH
10;2020-03-16T17:17:26;2020-03-16T03:51:56;SPANISH
